,im,label
1141,[0.29988401],1
1142,[0.38429624],1
1143,[0.22931784],1
1144,[0.46381597],1
1145,[0.39069189],1
1146,[0.40873257],1
1147,[0.89505931],1
1148,[0.31704582],1
1149,[0.36398235],1
1150,[0.33255626],1
1151,[0.24519076],1
1152,[0.24067311],1
1153,[0.28430249],1
1154,[0.30353208],1
1155,[0.44493216],1
1156,[0.31143628],1
1157,[0.26908815],1
1158,[0.23446118],1
1159,[0.38204536],1
1160,[0.30266414],1
1161,[0.45093424],1
1162,[0.4115753],1
1163,[0.38640373],1
1164,[0.33624953],1
1165,[0.38737126],1
1166,[0.24330279],1
1167,[0.29326382],1
1168,[0.3115901],1
1169,[0.32899414],1
1170,[0.33082535],1
1171,[0.36197394],1
1172,[0.47737261],1
1173,[0.23999179],1
1174,[0.46463161],1
1175,[0.35934828],1
1176,[0.33005909],1
1177,[0.32330038],1
1178,[0.25156023],1
1179,[0.26035272],1
1180,[0.60991166],1
1181,[0.30800009],1
1182,[0.24757114],1
1183,[0.29982879],1
1184,[0.49428537],1
1185,[0.30097225],1
1186,[0.4553836],1
1187,[0.37100682],1
1188,[0.57895601],1
1189,[0.28637484],1
1190,[0.13503607],1
1191,[0.48115945],1
1192,[0.3714645],1
1193,[0.62255525],1
1194,[0.46014652],1
1195,[1.18449682],1
1196,[1.16863336],1
1197,[0.73695359],1
1198,[0.83456608],1
1199,[0.20952239],1
1200,[0.85807328],1
1201,[0.85659931],1
1202,[0.4694624],1
1203,[0.55073346],1
1204,[0.35458176],1
1205,[0.77316579],1
1206,[0.17365332],1
1207,[0.48832505],1
1208,[0.35447833],1
1209,[0.37359793],1
1210,[0.40336584],1
1211,[0.40772903],1
1212,[0.30795666],1
1213,[0.15442936],1
1214,[0.46024054],1
1215,[0.23377627],1
1216,[0.22290364],1
1217,[0.46868347],1
1218,[0.20600408],1
1219,[0.30337602],1
1220,[0.23400376],1
1221,[0.2916641],1
1222,[0.21823375],1
1223,[0.32835646],1
1224,[0.42950457],1
1225,[0.32977898],1
1226,[0.29533371],1
1227,[0.34176261],1
1228,[0.24753673],1
1229,[0.15203745],1
1230,[0.12506777],1
1231,[0.35769836],1
1232,[0.03774165],1
1233,[0.19714983],1
1234,[0.1181472],1
1235,[0.21449781],1
1236,[0.45930221],1
1237,[0.47035714],1
1238,[0.35257539],1
1239,[0.38124253],1
1240,[1.16286789],1
1241,[0.19145327],1
1242,[0.3388477],1
1243,[0.11910862],1
1244,[0.19535432],1
1245,[0.11345864],1
1246,[0.17883635],1
1247,[0.22877362],1
